Country Name;Country Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Congo, Dem. Rep.;COD;9349764580;9087965282;8206227134;10707792340;5820383306;5643439262;5771454940;6090840548;6215591270;4711259427;19088046306;7438189100;8728038525;8937567060;10297483481;11964484668;14296507096;16364029327;19206060270;;20523285374;23849009738;27463220380;30014813756;34028119333;36188521107;31930856402
Congo, Rep.;COG;2798746051;2724853508;2933222706;1918970178;1769365439;2116003868;2540697538;2322719101;1949481381;2353909442;3219910666;2794259783;3019993739;3495868808;4648628921;6087003176;7731261311;8394688284;11859013281;9593537551;12007880439;14425607180;13677930124;14085851348;14177437982;8553154580;7833508879
Colombia;COL;40274204595;41239551378;49279585355;55802538219;81703500846;92507279383;97160109278;1,0666E+11;98443739941;86186158685;99886577331;98203546156;97933391976;94684584163;1,17075E+11;1,46566E+11;1,6259E+11;2,07416E+11;2,43982E+11;2,33822E+11;2,87018E+11;3,35415E+11;3,6966E+11;3,80192E+11;3,78196E+11;2,9152E+11;2,82463E+11
Comoros;COM;250030761;246823429;266191040;263568114;185761823;231896230;230495751;212099635;215394066;222580454;203846428;220093812;246737679;317562269;368143119;380372893;406111874;462453583;523134897;524157261;530493353;586281767;570865941;618663922;647720707;565689765;616654490
Cabo Verde;CPV;306891107;319827059;357160985;490417390;406580652;487148994;501979069;490608658;521910561;592416703;539227278;563024383;620974660;813963830;924318491;971977088;1107891063;1513934037;1789333749;1711817182;1664310770;1864824081;1751888562;1850951315;1858121723;1574288668;1617467436
Costa Rica;CRI;7403457319;7168999428;8528593084;9537297507;10432619390;11513472694;11618286553;12552071367;13617405420;14195623425;14949514585;15913363335;16504795453;17195867540;18529767934;19952156475;22600431878;26743874287;30612932803;30562361123;37268635287;42262697840;46473128286;49745088112;50656002896;54840103850;57435507212
Caribbean small states;CSS;17884432805;17668489746;17396950391;18254627214;19289605583;21134854978;23041792540;25732097913;28249856028;30022320518;32256663838;33176931054;34949444323;37500825974;41178984265;46656114032;52416498943;58371461971;66596542818;55887477076;60945499584;66197591877;70647852493;71284814648;71392784817;69516216247;66707362091
Cuba;CUB;28645436569;24316556026;22085858243;22367254865;28448326757;30429803651;25017300000;25366200000;25736331247;28364615242;30565400000;31682400000;33590500000;35901200000;38203000000;42643836075;52742800000;58603900000;60806300000;62080000000;64328000000;68990000000;73141000000;77148000000;80656100000;87132800000;
Curacao;CUW;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cayman Islands;CYM;;;;;;;1012444074;;;;;;;;;;3207032513;;;;;;;;;;
Cyprus;CYP;5591130218;5770197348;6912150456;6590291048;7425703929;9826778784;9899623588;9594298746;10353506787;10614455232;10183317625;10567304189;11618269231;14576896942;17422375000;18703146375;20403713461;24077470572;27839460964;25942622951;25562251656;27427161523;25041372222;24084572491;23359294149;19676167240;20047013274
Czech Republic;CZE;40477403220;29675502270;34590052812;40614350197;47554674591;59775697061;66985765439;61792161168;66490372105;64867483193;61649492817;67523642262;81910771994;99627140274;1,19162E+11;1,36281E+11;1,55464E+11;1,89227E+11;2,35719E+11;2,0618E+11;2,07478E+11;2,27948E+11;2,07376E+11;2,09402E+11;2,07818E+11;1,8683E+11;1,95305E+11
